,Ticker,sector,ROE_2022,ROE_2023,ROE_2024,EBIT Margin_2022,EBIT Margin_2023,EBIT Margin_2024,ROA_2022,ROA_2023,ROA_2024,ROIC_2022,ROIC_2023,ROIC_2024
816,FML.AX,Basic Materials,-0.04244712061219047,-0.029749464201194446,,-0.1280749471139317,-0.009159613059250303,,-0.025426124144372213,-0.013280407955899739,,-0.03313952557141255,-0.01765894311509565,
1002,SLS.AX,Basic Materials,,-0.37171774505592925,0.25446642502943595,,,,,-0.3581854845426612,0.24093682324919266,,-0.37171774505592925,0.25446642502943595
1237,FNR.AX,Basic Materials,-0.07651280656655882,,-0.20661307412973806,,,,-0.05764341327893224,,-0.1969076091068209,-0.06914262064847922,,-0.20334097963710457
1482,MRZ.AX,Basic Materials,-0.3491004385532167,-0.09452954109136465,-0.31452373565039315,,,,-0.3273246323086968,-0.08483992311956601,-0.28304743620941475,-0.3491004385532167,-0.09452954109136465,-0.31452373565039315
1453,SLB.AX,Basic Materials,,-0.12856845852986656,-0.20838963177324524,,,,,-0.12277861138454577,-0.20066168085477665,,-0.12856845852986656,-0.20838963177324524
968,SKY.AX,Basic Materials,-0.12474886753441336,-0.5483205231896883,-0.12825931933115695,,,,-0.11941409410375928,-0.5181791335254531,-0.119521418752344,-0.12474886753441336,-0.5483205231896883,-0.12825931933115695
1118,FRB.AX,Basic Materials,-0.264168879705374,-0.1843304447284736,-0.4892927325794058,,,-45.293372727272725,-0.25141392758042186,-0.17542180146479006,-0.4748434142911599,-0.264168879705374,-0.1843304447284736,-0.4892927325794058
1638,FRS.AX,Basic Materials,,-0.20465813551839324,-0.7673500206682036,,,,,-0.1927060488884281,-0.7214421402145763,,-0.20465813551839324,-0.7673500206682036
1263,MRR.AX,Basic Materials,-0.11903755737503043,-0.6576814343515666,-0.26049367760740766,,,,-0.11667081733184959,-0.645322515098615,-0.25431354935325057,-0.11903755737503043,-0.6576814343515666,-0.26049367760740766
467,FEX.AX,Basic Materials,0.5466195714428368,0.25103726647905167,0.23104131194963579,0.280255711439446,0.20269671088427024,0.19456120299484375,0.3811381118613048,0.1729872756625327,0.148247266241573,0.5466195714428368,0.23023230872316403,0.19387704939335226
1465,R8R.AX,Basic Materials,,,-0.11431874638581609,,,,,,-0.1114419454557583,,,-0.11431874638581609
1281,SRK.AX,Basic Materials,-0.32101147876208863,-0.768895176875888,0.12089362742568993,-0.4662208913791151,,,-0.22802228178785022,-0.3338851138929118,0.054947760255191616,-0.25806862457138074,-0.38576248796815327,0.06479777099027384
1152,SRN.AX,Basic Materials,-0.6477049453257587,-1.1514378712879247,-1.6674766085470196,,,,-0.5616988124205126,-0.6628489335658153,-0.3065744886671164,-0.6477049453257587,-1.1514378712879247,-1.6674766085470196
1497,CUL.AX,Basic Materials,-0.24423239547345563,-0.22277147569123548,-0.22984418572056856,,,,-0.23773706463069907,-0.21635113796928426,-0.22243910766796804,-0.24423239547345563,-0.22277147569123548,-0.22984418572056856
113,NIC.AX,Basic Materials,0.1366347470327775,0.0653105581818647,-0.07425083512347551,0.2060847358556668,0.15647458851168697,-0.03741046734339921,0.0710498575325024,0.036061681073782915,-0.04231870597314914,0.09893028390832836,0.047425094604814616,-0.0523515394554078
1457,CUS.AX,Basic Materials,-0.6174243815757561,-0.46480671505553056,-1.001806461826151,,,,-0.5870431195594692,-0.43414434238984767,-0.8848860725266395,-0.6174243815757561,-0.46480671505553056,-1.001806461826151
936,NHE.AX,Basic Materials,,-0.15461528495023488,-0.15376034623656876,,,,,-0.14791723728143097,-0.13780727599883724,,-0.15461528495023488,-0.14365734001611
1106,NGX.AX,Basic Materials,,-0.48821346335042043,-0.172383738442973,,,,,-0.4549990847655564,-0.16938782209791362,,-0.46905498493441594,-0.1721670332663909
645,CVV.AX,Basic Materials,-1.4404708906616992,-1.6379187018681434,-0.6228241645134484,,,,-1.2593127275320515,-1.3611937291198948,-0.5520409263429764,-1.4404708906616992,-1.6379187018681434,-0.6228241645134484
1455,NFL.AX,Basic Materials,,-0.13765310406464115,-0.1162274415942482,,,,,-0.1341210669277147,-0.11334561341093266,,-0.13765310406464115,-0.1162274415942482
988,CWX.AX,Basic Materials,-0.10262300601104836,-0.0527965991971637,-0.04841378261711384,,,,-0.09899056107196699,-0.05078711458737739,-0.04664514887762433,-0.10262300601104836,-0.0527965991971637,-0.04841378261711384
440,CXL.AX,Basic Materials,-0.4002686939426526,-0.3149935781638851,-0.26944390023453235,-0.903719319327428,-1.2455864161555095,-0.8861537416813798,-0.2895970327327519,-0.24572147989881532,-0.2106111118632705,-0.39385879183864786,-0.3124374197046932,-0.2678929034943996
1220,CUF.AX,Basic Materials,-0.008779195656604542,-0.5806186688955696,-1.4105432449567836,0.007340295655646162,-0.30690525969659305,-0.13647335738783986,-0.006163366952270447,-0.35484447466070096,-0.4588791474374066,-0.008484588842658916,-0.5372442847066167,-1.290444109249858
867,CXM.AX,Basic Materials,-1.0076545450315255,-0.3378567258187222,-0.8472398824922173,-99.48598130841121,-0.36523279547117493,-0.5920850869465922,-0.8481679493958444,-0.2401861518143513,-0.3942946343852346,-1.0041268663637206,-0.3168356257569976,-0.7118569139236309
960,CXU.AX,Basic Materials,-0.7752077029805586,-3.1289959918073698,-6.428447552961195,,,,-0.4358382832518395,-1.4663501665681153,-2.5804666532167686,-0.7752077029805586,-3.1289959918073698,-6.428447552961195
923,CY5.AX,Basic Materials,-0.22624759982034393,-0.6083977280042736,,-28.188793271205864,-1634.9716091954024,,-0.18637400120211756,-0.4779978179701004,,-0.22624759982034393,-0.6083977280042736,
424,TCG.AX,Basic Materials,-0.965590354344782,-0.7321004605363365,,,,,-0.8789959949671867,-0.6589112566043138,,-0.965590354344782,-0.7321004605363365,
1644,NES.AX,Basic Materials,-0.3657674716306855,-0.17921286029522057,-1.5381436530027037,,,,-0.3258200781447513,-0.17279080543039066,-1.4880004054753588,-0.3657674716306855,-0.17921286029522057,-1.5381436530027037
